vpid,artist
b00xp4sv,AC/DC
b00xp4sv,Buddy Holly
b00xp4sv,Chuck Berry
b00xp4sv,David Bowie
b00xp4sv,Deep Purple
b00xp4sv,Frank Zappa
b00xp4sv,Ian Brown
b00xp4sv,Japan
b00xp4sv,Joe Walsh
b00xp4sv,Led Zeppelin
b00xp4sv,Loudon Wainwright III
b00xp4sv,Nick Lowe
b00xp4sv,Pink Floyd
b00xp4sv,Sting
b00xp4sv,The Who
b00xp4sv,The Yardbirds
b00xp4sv,Thin Lizzy
b00xp4sv,XTC
b00xwpt6,"KING, B.B. & DR.JOHN"
b00xwpt6,Barenaked Ladies
b00xwpt6,Dire Straits
b00xwpt6,Huey Lewis and the News
b00xwpt6,John Martyn
b00xwpt6,John Mayall Featuring The Bluesbreakers
b00xwpt6,Loudon Wainwright III
b00xwpt6,Marvin Gaye
b00xwpt6,Mickey Jupp
b00xwpt6,Mott the Hoople
b00xwpt6,Passion Pit
b00xwpt6,Pete Townshend
b00xwpt6,Peter Townshend
b00xwpt6,Pink Floyd
b00xwpt6,Randy Newman
b00xwpt6,Stiff Little Fingers
b00xwpt6,The Beatles
b00xwpt6,The Rolling Stones
b00xwpt6,The Who
b00xwpt6,Van Morrison
b00xwpt6,XTC
b00xwpx1,"CHAPIN CARPENTER, MARY"
b00xwpx1,"LEE LEWIS, JERRY"
b00xwpx1,"LEWIS, JERRY LEE"
b00xwpx1,Archie Campbell
b00xwpx1,BILL HALEY
b00xwpx1,Billy Lee Riley
b00xwpx1,Carl Perkins
b00xwpx1,ELVIS PRESLEY
b00xwpx1,Elvis Costello
b00xwpx1,Ferlin Husky
b00xwpx1,HANK WILLIAMS
b00xwpx1,Hank Williams
b00xwpx1,Jackie Brenston
b00xwpx1,Malcolm Yelvington And Star Rhythm Boys
b00xwpx1,ROY ORBISON
b00xwpx1,Roy Acuff
b00xwpx1,THE EVERLY BROTHERS
b00xwpx1,THE WATERBOYS
b00xwpx1,The Dramatics
b00xwpx1,The Everly Brothers
b00xwpx1,Warren Smith
b00xwpx1,XTC
b00xwpxr,Berlin Philharmonic Orchestra
b00xwpxr,Danny Mirror
b00xwpxr,Dire Straits
b00xwpxr,Elvis Presley
b00xwpxr,Figures On A Beach
b00xwpxr,Frank Zappa
b00xwpxr,Living Colour
b00xwpxr,MOJO NIXON & SKID ROPER
