up_version_pid,up_service_id,up_programme_name
b00xp4sv,bbc_6music,"The Story of Pop, Episode 4: What a Long Strange Trip It's Been"
b00xwpt6,bbc_6music,"The Story of Pop, Episode 5: Too Old to Rock 'n' Roll, Too Young to Die"
b00xwpx1,bbc_6music,"The Story of Pop, Episode 6: Goin' Up Country"
b00xwpxr,bbc_6music,"The Story of Pop, Episode 7: The King is Dead - Long Live the King"
b00xyj3w,bbc_6music,"The Story of Pop, I Know You Got Soul"
b00xyj7k,bbc_6music,"The Story of Pop, Hobos to Hippies"
b00xynlj,bbc_6music,"The Story of Pop, Turning Rebellion Into Money"
b00xynm9,bbc_6music,"The Story of Pop, Listen to Me Me ME"
b00xynmy,bbc_6music,"The Story of Pop, Weird Scenes Inside the Goldmine"
b00xynrf,bbc_6music,"The Story of Pop, Let's Go Get Stoned"
b00xynt9,bbc_6music,"The Story of Pop, Pomp It Up"
b00xyvq7,bbc_6music,"The Story of Pop, Teenagers in Love"
b00xywcb,bbc_6music,"The Story of Pop, Escape from Tin Pan Alley"
b00xywf6,bbc_6music,"The Story of Pop, When We Was Fab"
b00y38g0,bbc_6music,"The Story of Pop, A Trip on the London Underground"
b00y38gy,bbc_6music,"The Story of Pop, Glam Slam"
b00y38hs,bbc_6music,"The Story of Pop, Hit Factories"
b00y3ys2,bbc_6music,"The Story of Pop, All That Funky Stuff"
b00y3yw5,bbc_6music,"The Story of Pop, A Reasonable Guide to a Horrible Noise"
b00y3z5s,bbc_6music,"The Story of Pop, Young, Loud and Snotty"
b00y3z6t,bbc_6music,"The Story of Pop, Today's Music Today"
b00y4617,bbc_6music,"The Story of Pop, England Swings"
b00y461r,bbc_6music,"The Story of Pop, Hitsville USA"
b00y485v,bbc_6music,"The Story of Pop, The Blues Had a Baby"
b00y4cql,bbc_6music,"The Story of Pop, Can Blue Men Sing the Whites?"
b00y4x7r,bbc_6music,"The Story of Pop, Shut Up and Play Your Guitar"
b00y9srj,bbc_6music,"The Story of Pop, The Big Easy"
b00yb329,bbc_6music,"The Story of Pop, Soulsville USA"
b00yb329,bbc_6music,"The Story of Pop, Soulsville USA"
b0198fjn,bbc_6music,"Golden Years: The David Bowie Story, Episode 5"
b0198j4z,bbc_6music,"Golden Years: The David Bowie Story, Episode 6"
b01hllxj,bbc_6music,"The 100 Club, Forget the Doodlebug - Come Jitterbug"
b01hmwc4,bbc_6music,"The 100 Club, The Trad Boom"
b01hmwcn,bbc_6music,"The 100 Club, Punk and the 80s"
b01hmy9y,bbc_6music,"The 100 Club, Indie and Beyond"
b01ms5dx,bbc_6music,"The History of The Marquee, Episode 1"
b01r7955,bbc_6music,"I'm On My Way: The Dean Parrish Story, Episode 1"
b01r79w0,bbc_6music,"I'm On My Way: The Dean Parrish Story, Episode 2"
b01rp4vw,bbc_6music,"Bowie's Heroes, Episode 1"
b01rp5d1,bbc_6music,"Bowie's Heroes, Episode 2"
b04cpdjv,bbc_6music,"A Beginner's Guide to the Blues, Muddy Waters"
b04crtt8,bbc_6music,"A Beginner's Guide to the Blues, John Lee Hooker"
b04crwtq,bbc_6music,"A Beginner's Guide to the Blues, BB King"
b04cs5bj,bbc_6music,"A Beginner's Guide to the Blues, Bessie Smith"
b04dcrdm,bbc_6music,"A Beginner's Guide to the Blues, Robert Johnson"
b04dcrdm,bbc_6music,"A Beginner's Guide to the Blues, Robert Johnson"
b04dcvy9,bbc_6music,"A Beginner's Guide to the Blues, Louis Jordan"
m00013df,bbc_6music,"Gilles Peterson, 02/02/2019"
m00015wx,bbc_6music,"Gilles Peterson, Seed Ensemble Session"
m00020pd,bbc_6music,"Gideon Coe, Fat White Family in concert"
m00020pg,bbc_6music,"6 Music Recommends, with Lauren Laverne"
m00020pj,bbc_6music,"6 Music Live Hour, Man, Radio Sweethearts and the High Llamas."
m00020pl,bbc_6music,"6 Music's Trunk of Funk with Craig Charles, 15/01/2019"
m00020pn,bbc_6music,"6 Music's Desert Island Disco with Lauren Laverne, The Chemical Brothers"
m00020pq,bbc_6music,"6 Music's People's Playlist with Lauren Laverne, Musical comics"
m00020ps,bbc_6music,"Chris Hawkins, Plink + Link"
m00020ww,bbc_6music,"Lauren Laverne, Dr Hannah Fry and Procrasti-Nation"
m00020x0,bbc_6music,"Steve Lamacq, Dinosaur to Junior and more lost Alternative 90s gems."
m00020x4,bbc_6music,"Marc Riley, Rozi Plain Live In Session"
m00020x8,bbc_6music,"Gideon Coe, Aztec Camera in concert."
m00020xd,bbc_6music,"6 Music Recommends, with Tom Ravenscroft"
m00020xj,bbc_6music,"6 Music Live Hour, Misty in Roots, the Big Pink and Inca Babies."
m00020xl,bbc_6music,"6 Music's Jukebox, Kate Tempest, Buzzcocks, Keb Mo, and more!"
m00020xn,bbc_6music,"Chris Hawkins, Wednesday Whines"
m00021bm,bbc_6music,"Lauren Laverne, Social Recall"
m00021bp,bbc_6music,"Steve Lamacq, Everyone You Know session, Robin Ince and lost 90s"
m00021br,bbc_6music,"Marc Riley, 16/01/2019"
m00021bt,bbc_6music,"Gideon Coe, Label Of Love this evening is Mega Dodo."
m00021bw,bbc_6music,"6 Music Recommends, with Daniel Avery"
m00021by,bbc_6music,"6 Music Live Hour, Hipsway, Laura Gibson and the Specials."
m00021c0,bbc_6music,"6 Music's Jukebox, Django Django, Courtney Barnett, Sparks, and more!"
m00021c2,bbc_6music,"Chris Hawkins, The very best way to wake up"
m00021wk,bbc_6music,"Lauren Laverne, People’s Playlist"
m00021wm,bbc_6music,"Steve Lamacq, Great lost 90s tracks"
m00021wp,bbc_6music,"Marc Riley, The Wave Pictures Live In Session"
m00021wr,bbc_6music,"Gideon Coe, AC/DC in concert."
m00021wt,bbc_6music,"6 Music Recommends, with Steve Lamacq"
m00021ww,bbc_6music,"6 Music Live Hour, The Stone Roses, Husky Rescue and Syncopation."
m00021wy,bbc_6music,"6 Music's Jukebox, Young Fathers, Foals, The Specials, and more!"
m00021x0,bbc_6music,"Chris Hawkins, Friday’s Awesome Segue"
m0002280,bbc_6music,"Lauren Laverne, Desert Island Disco"
m0002282,bbc_6music,"Shaun Keaveny, Episode 10 - With Simon Amstell joining"
m0002284,bbc_6music,"Steve Lamacq, Steve's lost 90s tracks conclude with a special Friday Free for All"
m0002286,bbc_6music,"Iggy Pop, Iggy Confidential with the concluding part of Lonnie Holley’s I Snuck off the Slave Ship"
m0002288,bbc_6music,"Tom Ravenscroft, With Cucina Povera plus DJ Raff in the Mix"
m000228b,bbc_6music,"6 Music Classic Concert, Maze featuring Frankie Beverly."
m000228d,bbc_6music,"6 Music Live Hour, The Psychedelic Furs, the Internet and the Oyster Band"
m000228g,bbc_6music,"Chris Hawkins, Totally Wire(d)"
m00022ty,bbc_6music,"Liz Kershaw, Eddie and The Hot Rods"
m00022v0,bbc_6music,"Gilles Peterson, New York Winter Jazz Festival special"
m00022v2,bbc_6music,"The Craig Charles Funk and Soul Show, 19/01/2019"
m00022v4,bbc_6music,"The Tom Robinson Show, Michael Franti"
m00022v6,bbc_6music,"Freak Zone Playlist, By Julia Holter"
m00022v8,bbc_6music,"The Joy of 6, 20/01/2019"
m00022vb,bbc_6music,"6 Music Recommends, The New Music Playlist"
m00022vd,bbc_6music,"6 Music Live Hour, Wolf, Young Husband and Alien Ant Farm"
m00022vg,bbc_6music,"Chris Hawkins, Happy 50th Nicky Wire! (The card's in the post...)"
m00022vj,bbc_6music,"Cerys Matthews, Celtic Connections"
m00022vl,bbc_6music,"The First Time With..., Cat Power"
m00022vn,bbc_6music,"Guy Garvey's Finest Hour, Penguin Awareness Day"
m00022vq,bbc_6music,"Amy Lamé, With the author Charles Connelly"
m00022vs,bbc_6music,"Now Playing @6Music, Blue Note Records"
m00022vv,bbc_6music,"Stuart Maconie's Freak Zone, Music for Macbeth and South American psych"
m00022vx,bbc_6music,"Don Letts' Culture Clash Radio, Crucial Temps"
m00022vz,bbc_6music,"The BBC Introducing Mixtape, 21/01/2019"
m00022w1,bbc_6music,"6 Music Live Hour, John Sebastian, Wrangler and Danielle Dax."
m00022w3,bbc_6music,"Chris Hawkins, Sleeper’s Louise Wener with her guide to Brighton."
m00022wm,bbc_6music,"Marc Riley, Mark Stewart of the Pop Group"
m00022wp,bbc_6music,"Gideon Coe, Happy Mondays In Concert."
m00022wr,bbc_6music,"6 Music Recommends, with Lauren Laverne"
m00022wt,bbc_6music,"6 Music Live Hour, Silverhead and Gong"
m00022ww,bbc_6music,"6 Music's Trunk of Funk with Craig Charles, Jazz Funk"
m00022wy,bbc_6music,"6 Music's Desert Island Disco with Lauren Laverne, 22/01/2019"
m00022x0,bbc_6music,"6 Music's People's Playlist with Lauren Laverne, Resolve"
m00022x2,bbc_6music,"Chris Hawkins, Plink + Link"
m0002307,bbc_6music,"Marc Riley, Warm Drag"
m0002309,bbc_6music,"Gideon Coe, The Church in concert"
m000230c,bbc_6music,"6 Music Recommends, with Tom Ravenscroft"
m000230g,bbc_6music,"6 Music Live Hour, Pete Seeger, Frànçois & the Atlas Mountains and Stoat."
m000230l,bbc_6music,"6 Music's Jukebox, Julia Holter, New Order, Parquet Courts, and more!"
m000230q,bbc_6music,"Chris Hawkins, Wednesday Whines"
m00023hc,bbc_6music,"Marc Riley, Field Music"
m00023hf,bbc_6music,"Gideon Coe, Label Of Love is Sugar Hill"
m00023hh,bbc_6music,"6 Music Recommends, with Jordan Rakei"
m00023hk,bbc_6music,"6 Music Live Hour, Labi Siffre, the Box and Moloko"
m00023hm,bbc_6music,"6 Music's Jukebox, Courtney Barnett, Slowthai, Lizzo, and more!"
m00023hq,bbc_6music,"Chris Hawkins, The very best way to wake up"
m00023kk,bbc_6music,"Radcliffe and Maconie, Baxter Dury"
m00023km,bbc_6music,"The Huey Show, Going To Brazil"
m00023kp,bbc_6music,"Mary Anne Hobbs, With All the Queens"
m00023kr,bbc_6music,"Shaun Keaveny, Epiosde 11 - Stewart Copeland chats DRUMS!"
m00023kt,bbc_6music,"Steve Lamacq, The 'state of the music nation' and lost 00s tracks"
m00023ky,bbc_6music,"Mary Anne Hobbs, Mid-Mornings For Music Lovers"
m00023l0,bbc_6music,"Shaun Keaveny, Episode 12 - Philip Selway joins"
m00023l2,bbc_6music,"Steve Lamacq, Dinosaur to Junior and lost tracks from the 00s"
m00023ld,bbc_6music,"Mary Anne Hobbs, With Karen O and Danger Mouse"
m00023lg,bbc_6music,"Shaun Keaveny, Episode 7 - You Get What You Gif"
m00023lj,bbc_6music,"Mary Anne Hobbs, With Denzel Curry"
m00023ll,bbc_6music,"Shaun Keaveny, Episode 13 - Prof Brian Cox joins Shaun"
m00023ln,bbc_6music,"Steve Lamacq, Robin Ince, The Mysterines in session and lost 00s"
m00023lq,bbc_6music,"6 Music Recommends, with Stuart Braithwaite"
m00023m9,bbc_6music,"Mary Anne Hobbs, Ex:Re live in session"
m00023mc,bbc_6music,"Shaun Keaveny, Epiosde 8 - Prof Brian Cox and Field Music"
m00023mf,bbc_6music,"Mary Anne Hobbs, 17/01/2019"
m00023mh,bbc_6music,"Shaun Keaveny, Episode 9 - Paul Draper chats in the Music News"
m00023mk,bbc_6music,"Steve Lamacq's Roundtable, with Sonya from Echobelly, Tom Williams & Kele from Bloc Party"
m00023mr,bbc_6music,"Mary Anne Hobbs, In Conversation With James Blake And Max Cooper In The Mix"
m00023mt,bbc_6music,"Nemone's Electric Ladyland, Celebrating 20 years of Defected Records, and James Blake Mix"
m00023p3,bbc_6music,"Radcliffe and Maconie, Gary Numan"
m00024dp,bbc_6music,"Mary Anne Hobbs, With A Hit Reset Mix From Erland Cooper"
m00024dr,bbc_6music,"Shaun Keaveny, Episode 14 - Kit Harington"
m00024dt,bbc_6music,"Steve Lamacq, More Lost Noughties Tracks"
m00024dw,bbc_6music,"Steve Lamacq's Roundtable, With Graeme Park, Miranda Sawyer and Ghostpoet"
m00024dy,bbc_6music,"Marc Riley, Nov3l"
m00024f0,bbc_6music,"Gideon Coe, Robert Wyatt in concert."
m00024f2,bbc_6music,"6 Music Recommends, with Steve Lamacq"
m00024f4,bbc_6music,"6 Music Live Hour, Spyro Gyra, Ikara Colt and Krokus"
m00024f6,bbc_6music,"6 Music's Jukebox, Savages, Depeche Mode, Kathryn Joseph, and more!"
